study,measure,wave,estimate,std_error,lower,upper,treated_before,treated_after,control_before,control_after,n_treated,n_control,weighting
America in One Room 2019,Overestimates undocumented immigrants,After,-0.14549690223469233,0.020861181933294788,-0.18638406749888775,-0.10460973697049691,0.277246653919694,0.1395793499043977,0.26777251184834117,0.2819905213270143,523,844,unweighted
America in One Room 2019,Overestimates undocumented immigrants,After,-0.13448957743484996,0.022663207156354656,-0.17890864723547548,-0.09007050763422444,0.277246653919694,0.1395793499043977,0.26777251184834117,0.2819905213270143,523,844,weighted
America in One Room 2019,Right number of undocumented immigrants,After,0.57359134137836,0.022495050973631296,0.52950185163965,0.61768083111707,0.20458891013384323,0.739961759082218,0.17772511848341244,0.1575829383886256,523,844,unweighted
America in One Room 2019,Right number of undocumented immigrants,After,0.5677333427137167,0.028624192724233454,0.5116309558876857,0.6238357295397476,0.20458891013384323,0.739961759082218,0.17772511848341244,0.1575829383886256,523,844,weighted
America in One Room: Climate 2021,Denies human-caused warming (0),After,-0.020793650070294333,0.00813624941502294,-0.03674040589297437,-0.0048468942476142945,0.032502708559046585,0.018418201516793055,0.04983922829581989,0.046623794212218635,923,622,unweighted
America in One Room: Climate 2021,Denies human-caused warming (0),After,-0.02066927741858178,0.009619938524028355,-0.03952401045916676,-0.0018145443779968053,0.032502708559046585,0.018418201516793055,0.04983922829581989,0.046623794212218635,923,622,weighted
America in One Room: Climate 2021,Denies human-caused warming (0-1),After,-0.026401108317047516,0.009841961405271339,-0.045690998208612554,-0.007111218425482478,0.0509209100758396,0.03250270855904659,0.06591639871382635,0.06591639871382642,923,622,unweighted
America in One Room: Climate 2021,Denies human-caused warming (0-1),After,-0.026189283881050626,0.014601102278927908,-0.05480691848233502,0.002428350720233771,0.0509209100758396,0.03250270855904659,0.06591639871382635,0.06591639871382642,923,622,weighted
America in One Room: Climate 2021,Denies human-caused warming (0),A year later,-0.010303683903657915,0.010357129744708161,-0.030603285186494425,0.009995917379178597,0.03486924034869238,0.0336239103362391,0.051330798479087496,0.051330798479087454,803,526,unweighted
America in One Room: Climate 2021,Denies human-caused warming (0),A year later,-0.005359619943485896,0.013348419877615746,-0.031522042154131305,0.020802802267159512,0.03486924034869238,0.0336239103362391,0.051330798479087496,0.051330798479087454,803,526,weighted
America in One Room: Climate 2021,Denies human-caused warming (0-1),A year later,-0.014764653568647016,0.011840389234541228,-0.037971390031283594,0.008442082893989561,0.051058530510585294,0.05479452054794516,0.06844106463878333,0.07984790874524718,803,526,unweighted
America in One Room: Climate 2021,Denies human-caused warming (0-1),A year later,-0.0034329737470273026,0.01797980990469433,-0.038672753609104715,0.031806806115050115,0.051058530510585294,0.05479452054794516,0.06844106463878333,0.07984790874524718,803,526,weighted
America in One Room: Climate 2021,"Agreement, 0-10",After,0.7076287624351483,0.08871124918710384,0.5337579090048666,0.8814996158654299,7.456121343445286,8.006500541711809,6.755627009646301,6.787781350482316,923,622,unweighted
America in One Room: Climate 2021,"Agreement, 0-10",After,0.7851056457521913,0.12214806924370339,0.5456998292534281,1.0245114622509546,7.456121343445286,8.006500541711809,6.755627009646301,6.787781350482316,923,622,weighted
America in One Room: Climate 2021,"Agreement, 0-10",A year later,0.3698799098218851,0.10520760471306541,0.16367679368455054,0.5760830259592197,7.474470734744707,7.552926525529266,6.769961977186311,6.636882129277566,803,526,unweighted
America in One Room: Climate 2021,"Agreement, 0-10",A year later,0.4415555332890978,0.15383351290456598,0.14004738838087094,0.7430636781973247,7.474470734744707,7.552926525529266,6.769961977186311,6.636882129277566,803,526,weighted
