poll,item,statement,n,incorrect_t1,incorrect_t2,dk_t1,dk_t2,correct_t1,correct_t2,change,std_error,lower,upper
Australia Republic 1999,anthem,"If Australia becomes a republic, the national anthem will definitely change",347,0.23919308357348706,0.031700288184438104,0.14985590778097982,0.10662824207492795,0.6109510086455331,0.861671469740634,-0.20749279538904897,0.023633642808769298,-0.2538138841177208,-0.1611717066603771
Australia Republic 1999,commonwealth_games,"If Australia becomes a republic, participation in the Commonwealth Games will definitely change",347,0.23342939481268007,0.07492795389048992,0.14985590778097982,0.10662824207492795,0.6167146974063401,0.8184438040345822,-0.15850144092219026,0.02487369114104279,-0.2072529797212071,-0.10974990212317341
Australia Republic 1999,flag,"If Australia becomes a republic, the flag will definitely change",347,0.5850144092219022,0.0922190201729108,0.14985590778097982,0.10662824207492795,0.26512968299711814,0.8011527377521613,-0.49279538904899134,0.02779150075214117,-0.5472657295995058,-0.43832504849847687
By the People 2004,bush_vietnam,"During the Vietnam War, George W. Bush served in the Texas Air National Guard",250,0.04399999999999998,0.03999999999999998,0.148,0.096,0.808,0.864,-0.003999999999999997,0.01652356234138993,-0.03638558708542657,0.02838558708542658
By the People 2004,drug_prices,"On average, prescription drugs cost more in Canada than in the U.S.",250,0.011999999999999993,0.027999999999999983,0.06,0.052,0.928,0.92,0.01599999999999999,0.009765112888178799,-0.003139269565798356,0.03513926956579834
By the People 2004,iraq_911,Iraq was directly involved in the attacks on the World Trade Center and the Pentagon on 9/11,250,0.184,0.07999999999999997,0.14,0.1,0.676,0.82,-0.10399999999999993,0.025124908839172014,-0.15324391643962912,-0.05475608356037074
By the People 2004,kerry_vietnam,"During the Vietnam War, John Kerry was a decorated officer serving in Vietnam",250,0.019999999999999987,0.03199999999999998,0.128,0.076,0.852,0.892,0.01199999999999999,0.013271341833297218,-0.014011352019782323,0.0380113520197823
By the People 2004,wmd,Large quantities of weapons of mass destruction have been found in Iraq,250,0.023999999999999987,0.019999999999999987,0.04,0.056,0.936,0.924,-0.003999999999999997,0.01202139992783283,-0.02756151090230474,0.019561510902304746
Denmark Euro 2000,coins,The euro coins will have a national side,363,0.32506887052341604,0.013774104683195568,0.14049586776859505,0.06611570247933884,0.5344352617079889,0.9201101928374655,-0.31129476584022037,0.02525665276509365,-0.36079689562983785,-0.2617926360506029
Denmark Euro 2000,fines,"As a member of the monetary union, Denmark could be fined if its deficit is too large",363,0.2506887052341598,0.10743801652892562,0.33608815426997246,0.11294765840220386,0.4132231404958678,0.7796143250688705,-0.14325068870523408,0.027385636608565803,-0.19692555015172467,-0.0895758272587435
Denmark Euro 2000,interest_rates,Denmark can decide its own interest rates if it joins the monetary union,363,0.1349862258953168,0.11570247933884294,0.12947658402203857,0.07988980716253444,0.7355371900826446,0.8044077134986226,-0.019283746556473812,0.02354788617587437,-0.06543675537323619,0.026869262260288563
Denmark Euro 2000,taxation,Denmark can decide its own rates of taxation if it joins the single currency,363,0.2479338842975206,0.09090909090909093,0.11019283746556474,0.09641873278236915,0.6418732782369146,0.8126721763085399,-0.15702479338842973,0.0243712444761746,-0.20479155482015265,-0.1092580319567068
UK Crime 1994,life,More people are serving life sentences in Britain than in the rest of the European Community put together,299,0.27090301003344475,0.1538461538461539,0.5250836120401338,0.26421404682274247,0.2040133779264214,0.5819397993311036,-0.11705685618729096,0.031230122188378107,-0.17826677090929724,-0.055846941465284676
UK Europe 1995,brussels_tax,Britain's income tax rates are decided in Brussels,224,0.022321428571428565,0.06696428571428571,0.23660714285714285,0.13392857142857142,0.7410714285714286,0.7991071428571429,0.04464285714285713,0.018745900378514525,0.007901567543192906,0.08138414674252135
UK Europe 1995,libdem_eu,"Of the three British parties, the Liberal Democrats are least in favour of the European Union",224,0.1785714285714286,0.0982142857142857,0.4017857142857143,0.23660714285714285,0.41964285714285715,0.6651785714285714,-0.08035714285714288,0.031176987553999686,-0.14146291560943575,-0.01925137010485
UK General Election 1997,unemployment,Unemployment in Britain is higher than in Germany,275,0.3272727272727273,0.22181818181818164,0.22181818181818183,0.1781818181818182,0.4509090909090909,0.6,-0.10545454545454544,0.03337701989331033,-0.17087230235671058,-0.0400367885523803
UK Health 1998,breast_screening,All British women get free breast cancer screening on the NHS,230,0.7130434782608696,0.5391304347826088,0.1,0.09130434782608696,0.18695652173913044,0.3695652173913043,-0.17391304347826095,0.037746337480363566,-0.24789450548806788,-0.09993158146845402
UK Health 1998,nhs_spending,"Even with inflation taken into account, spending on the NHS has doubled over the last 20 years",230,0.16521739130434787,0.16086956521739126,0.22608695652173913,0.19130434782608696,0.6086956521739131,0.6478260869565218,-0.00434782608695649,0.02987082250453217,-0.06289356238442806,0.05419791021051508
UK Health 1998,private_care,Most people use private medical treatment instead of the NHS,230,0.1173913043478261,0.08260869565217396,0.09130434782608696,0.09565217391304348,0.7913043478260869,0.8217391304347826,-0.0347826086956523,0.022098790537079728,-0.07809544225022311,0.008530224858918509
